0 1 2
0 3 0
22 3 2
44 3 0
66 3 0
88 3 0
110 3 0
125 1 0
132 3 0
154 3 0
176 3 2
198 3 2
220 3 1
242 3 2
250 1 3
250 3 2
281 3 0
312 3 0
343 3 2
374 3 1
375 1 0
405 3 0
436 3 1
467 3 0
498 3 0
500 1 2
500 3 1
531 3 2
562 3 2
593 3 1
624 3 2
625 1 0
655 3 1
686 3 1
717 3 0
748 3 1
750 1 2
750 3 1
775 3 2
800 3 1
825 3 1
833 1 0
850 3 0
875 3 1
900 3 2
916 1 0
925 3 0
950 3 0
975 3 1
999 1 3
1000 1 0
1000 3 0
1027 3 2
1054 3 0
1081 3 0
1083 1 3
1108 3 2
1135 3 2
1162 3 2
1166 1 3
1189 3 0
1216 3 0
1243 3 2
1249 1 0
1250 1 3
1250 3 0
1285 3 0
1320 3 0
1355 3 2
1390 3 0
1425 3 0
1460 3 1
1495 3 1
1500 1 2
1500 3 0
1535 3 2
1570 3 2
1605 3 2
1640 3 1
1675 3 0
1710 3 0
1745 3 2
1750 1 0
1750 3 1
1772 3 2
1794 3 1
1816 3 1
1838 3 1
1860 3 0
1882 3 1
1904 3 2
1926 3 0
1948 3 2
1970 3 1
1992 3 1
2000 1 0
2000 3 2
