paremeters:
tick: 0.02
popsize: 50
eva_num: 30
n_signages: 10
��ʼ�����: 
Ŀ��1-ʱ��,Ŀ��2-ѹ��,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
0,0,25,70,53,80,34,79,61,47,13,54,19,78,19,61,71,67,71,17,38,66,
0,0,71,67,15,62,57,54,78,73,53,22,63,37,56,28,91,75,48,71,12,62,
0,0,17,68,66,73,43,8,64,68,85,70,81,75,52,60,64,46,16,63,52,24,
0,0,94,74,51,16,54,87,12,74,93,70,59,46,51,85,14,65,51,24,44,78,
0,0,51,57,39,78,37,67,92,69,72,78,63,12,57,62,48,8,56,54,78,72,
0,0,52,52,62,72,60,71,60,89,58,24,52,12,57,55,88,65,14,65,64,57,
0,0,31,64,5,88,12,83,66,72,12,89,68,86,44,74,23,62,12,66,55,12,
0,0,41,62,51,1,61,87,59,67,37,66,60,7,26,73,59,87,2,87,70,71,
0,0,58,67,52,57,53,69,20,79,41,65,93,63,54,48,64,44,71,68,61,79,
0,0,51,63,71,17,56,77,55,28,61,76,61,55,53,30,10,86,67,73,58,20,
0,0,61,4,11,52,80,69,52,43,59,47,13,67,12,59,72,72,77,69,12,65,
0,0,58,70,51,44,54,21,11,76,53,16,56,57,100,61,69,48,39,62,62,75,
0,0,53,51,59,3,63,61,94,71,24,79,56,9,54,82,56,70,55,27,38,72,
0,0,96,62,21,79,44,67,67,72,52,66,71,61,79,68,55,86,56,12,63,43,
0,0,59,76,19,73,93,68,71,89,25,71,51,17,59,66,15,62,30,70,77,68,
0,0,68,61,57,35,57,19,58,48,59,73,55,77,74,16,13,57,11,53,55,18,
0,0,51,64,71,87,57,87,57,36,64,66,73,16,51,66,60,78,54,76,41,77,
0,0,51,89,12,89,42,64,13,80,11,76,53,73,52,50,57,55,62,33,58,26,
0,0,44,7,54,63,28,62,78,65,13,70,69,68,51,52,13,86,83,67,49,9,
0,0,53,72,18,61,51,44,59,18,68,67,13,76,73,18,32,71,60,54,58,61,
0,0,51,19,63,60,58,72,62,31,68,63,55,54,36,77,17,61,51,78,66,67,
0,0,65,74,54,58,29,74,64,83,39,67,39,70,66,66,62,38,46,74,60,72,
0,0,97,64,78,65,64,41,42,72,77,67,58,24,51,47,77,64,63,15,71,78,
0,0,41,64,10,89,56,37,83,73,59,12,52,3,52,25,62,88,53,86,53,75,
0,0,55,51,37,62,69,88,64,15,28,65,34,66,97,62,94,79,83,75,37,71,
0,0,56,64,72,67,13,75,21,70,13,83,88,73,63,29,52,16,61,17,45,73,
0,0,43,62,75,78,51,70,88,77,64,72,104,64,39,61,42,77,63,57,68,75,
0,0,56,36,19,65,8,88,61,54,88,70,30,72,82,69,76,72,21,63,58,6,
0,0,13,88,62,6,53,16,32,79,86,72,57,42,96,64,56,47,87,68,59,58,
0,0,69,67,51,85,53,63,18,77,10,88,30,71,12,67,40,70,50,62,61,83,
0,0,11,55,94,66,68,77,12,75,56,86,63,81,39,74,51,50,55,78,56,22,
0,0,66,89,60,56,25,79,52,29,64,14,93,68,88,72,60,31,52,42,64,26,
0,0,24,74,15,74,80,69,64,19,32,69,83,68,86,77,40,73,26,77,28,66,
0,0,3,88,50,79,16,65,67,78,16,75,63,3,61,5,54,16,68,17,21,72,
0,0,66,59,102,61,67,75,103,62,51,32,54,27,74,46,21,68,13,55,39,74,
0,0,67,61,37,67,54,7,63,13,92,79,60,3,54,66,86,65,83,79,61,55,
0,0,12,85,87,79,61,58,23,73,84,67,73,61,90,70,54,58,45,61,87,65,
0,0,59,3,16,73,76,63,53,26,37,77,49,78,91,71,68,18,44,74,73,78,
0,0,36,63,17,71,19,65,62,17,85,71,35,78,51,70,48,75,94,65,34,64,
0,0,77,77,72,87,17,64,63,45,19,62,73,88,55,41,10,86,58,25,62,85,
0,0,88,75,32,77,86,77,61,17,54,87,59,41,67,74,48,9,66,18,12,86,
0,0,38,68,34,64,27,66,54,17,68,79,11,51,56,71,32,62,41,8,56,47,
0,0,56,43,35,70,56,23,56,32,87,67,58,30,61,39,43,74,58,35,12,61,
0,0,12,68,57,43,44,68,94,64,27,77,57,9,93,64,88,64,59,28,75,78,
0,0,92,66,37,72,15,62,25,78,64,33,13,83,51,79,29,63,41,67,55,51,
0,0,64,12,65,73,63,63,46,77,51,17,61,71,62,72,93,64,89,73,51,36,
0,0,64,84,92,64,78,64,30,77,82,69,92,67,61,84,62,84,66,71,64,73,
0,0,63,1,57,37,72,16,81,65,63,58,64,13,88,74,84,69,81,77,48,78,
0,0,45,66,57,58,87,75,2,88,64,33,24,65,61,65,53,42,44,79,53,50,
0,0,61,85,14,86,43,65,56,71,22,66,34,78,53,9,70,79,88,68,15,62,
��ǰΪ��1����
Ŀ��1-ʱ��,Ŀ��2-ѹ��,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
0,0,64.5,22,14.5,70,1,86,67,46,13,54,92.5,79,48,75,9,86,21,61,90,61,
0,0,45,79,15,62,17,61,47,79,104,64,70,46,56,28,86,61,42,61,12,62,
0,0,76,61,60,58,96,64,64,68,68,46,81,75,104,61,76,66.5,14.5,54,44,61,
0,0,9,86,51,16,57,7,58,42,49.5,66.5,1,89,61,64,14,65,104,64,48,61,
0,0,64.5,79,39,78,92,61,62.5,65,92,61,79,61,88,61,48,8,56,54,1,86,
0,0,67,46,29,61,68,46,60,89,69,61,33,61,81,79,88,65,67,89,84,79,
0,0,104,64,53,25.5,12,83,18,79,46,71.5,95,61,33,79,93,77.5,12,66,68.5,66,
0,0,41,62,87,79,81,79,66.5,47.5,37,66,60,81,26,73,59,87,33,61,70,71,
0,0,79,61,68,61,58,89,71.5,77,41,65,75,61,30,70,84,61,1,86,72.5,78.5,
0,0,104,61.5,71,17,49,79,91.5,75,1,86,61,55,36,72,10,86,62.5,63,26,75,
0,0,80,79,11,52,68.5,61.5,55,14.5,52.5,20.5,76,67,79,61,72,72,58,61,24,61,
0,0,58,70,68,89,55,53.5,84,61,32.5,68.5,39,79,78,61,31.5,73.5,38,61,55,73,
0,0,42,61,59,3,36,75,65,16.5,24,79,73.5,78.5,54,82,56,70,27,79,73.5,73.5,
0,0,96,62,17,68,44,67,76,61,52,66,61,89,40,79,55,86,33,79,104,64,
0,0,51,89,60,66,102,63,66,46,65,89,79,79,44,79,53,88,88,77,51,76,
0,0,68,61,61,56,57,19,64,24.5,59,73,55,77,61,74,16,61,83,61,83,71,
0,0,73,78.5,61.5,66.5,35,61,60,89,27,61,60,76.5,46,79,101,61,54,76,33.5,70,
0,0,56,75,83,61,42,64,13,80,51,37,104,61,77.5,74,57,55,16,75.5,81,61,
0,0,21,61,18,61,1,86,78,65,92,69.5,69,68,67.5,66,30,61,47,79,49,9,
0,0,73,75,53.5,61,57.5,30,70,89,68,67,36,61,47,61,69,46,84,61,57,75.5,
0,0,67,46,25,61,8,89,62,31,68,63,55.5,75,75,71,64,52.5,79.5,71.5,66,16,
0,0,65,74,73,89,17,79,74,77,1,86,71,88.5,66,66,62,38,46,74,60,72,
0,0,47.5,77,104,64,1,86,83,79,58.5,52.5,58,24,51,47,104,61,3,86,69,46,
0,0,41,64,10,89,89,66,54.5,51.5,73,64,64.5,40.5,31,61,91,61,68,46,43,79,
0,0,46.5,61,42,6,69,88,1,86,28,65,80,61,65,89.5,86,61,41,79,41,71.5,
0,0,46,61,72,67,43.5,75.5,21,70,44,61,90,61,63,29,69.5,70,61,17,45,73,
0,0,61,89,63,74,24,77,74,86,72,72,57.5,23,101,61,104,64,41,68.5,56.5,70,
0,0,87.5,69,72,67,36,79,51,89,1,86,78,79,25,70,66,60,21,63,33,63,
0,0,56,78,62,6,31,63,32,79,82,61,57,42,96,64,46,61,51.5,54,45,61,
0,0,44,61,22,79,61,57,27.5,69.5,10,88,70,89,12,67,48,79,6,86,61,83,
0,0,11,55,94,66,68,77,63.5,31.5,56,86,63,81,84.5,69.5,51,50,91,78.5,64,70,
0,0,66,89,1,86,25,79,37,61,93,79,64.5,85.5,64,80,60,31,52,42,87,70,
0,0,24,74,34,79,55,89,64,19,56.5,20.5,83,68,62.5,81,104,64,80,61,27,69,
0,0,82,77,83,79,41,61.5,67,78,26,79,63,3,61,5,58,89,68,17,80,79,
0,0,66,60,102,61,67,75,41,61,74,16,32.5,66,57,17,21,68,64,89,9,86,
0,0,88,61,41,79,1,89,80,61,1,86,96,64,40,61,86,65,73,46,71.5,19.5,
0,0,12,85,63,57.5,14.5,57,79,61,63,85.5,73,61,74,16,41.5,75.5,58,52,68,46,
0,0,53.5,55.5,16,73,76,63,104,61,57.5,67.5,91,61,38,61,41,72,48,77,73,78,
0,0,64,60,17,71,19,65,79,79,29,79,85.5,71,1,86,48,75,31,61,103,64,
0,0,51,61.5,61,54,55,17.5,58,69,70,46,33,61,6,86,69,46,58,52,62,85,
0,0,58.5,13.5,1,86,62,71,41,61,80,61,59,41,60,89,48,9,66,18,58,50,
0,0,73,89,60,58,90,61,72,69,75.5,68,11,51,30,70,78,79,99,64,43,75.5,
